Name,State,No. Clients,Sales,Max Item Value,Avg. Sales per Client,Commission,,Número de vendedores que a empresa tem no estado de Nova York?,,,,6
Alex,NY,1,$964.69,$100.00,$964.69,$96.47,,Valor total de vendas acima de $500:,,,,"$19,007.61"
Ben,NJ,4,$877.20,$100.00,$219.30,$87.72,,Valor total de vendas em NY:,,,,"$5,417.30"
Frank,CA,2,"$1,110.90",$121.00,$555.45,$111.09,,Média de vendas em NY:,,,,$902.88
Deshawn,CA,2,"$1,794.92",$400.00,$897.46,$179.49,,Valor máximo de venda em NY:,,,,"$1,666.61"
Mike,MA,3,"$1,198.91",$340.00,$399.64,$119.89,,Valor máximo de venda em NY onde o valor do item é menor do que $400:,,,,$964.69
Rachel,TX,4,$168.36,$37.00,$42.09,$16.84,,Quantos vendedores em NY tem apenas 1 cliente?,,,,4
Bill,NY,3,"$1,666.61",$450.00,$555.54,$166.66,,,,,,
Stephan,NY,1,$910.29,$500.00,$910.29,$91.03,,,,,,
Jill A.,NY,2,$631.69,$100.00,$315.85,$63.17,,,,,,
Mark C.,VT,1,$765.32,$55.00,$765.32,$76.53,,,,,,
Alejandro,AZ,2,"$1,336.68",$110.00,$668.34,$133.67,,,,,,
Sarah,CT,1,$709.16,$70.00,$709.16,$70.92,,,,,,
Amy,NY,1,$332.58,$55.00,$332.58,$33.26,,,,,,
Josh,NY,1,$911.44,$400.00,$911.44,$91.14,,,,,,
Reggie,AZ,4,$389.49,$37.00,$97.37,$38.95,,,,,,
Jennifer,CA,3,"$2,133.58",$500.00,$711.19,$213.36,,,,,,
Matt,NJ,4,$195.45,$70.00,$48.86,$19.55,,,,,,
Laurel,NJ,3,$831.28,$121.00,$277.09,$83.13,,,,,,
Russel,TX,2,$893.89,$340.00,$446.95,$89.39,,,,,,
Mark R.,TX,3,"$2,271.05",$500.00,$757.02,$227.11,,,,,,
